L1 seg.code,L1 seg.description,L2 seg.code,L2 seg.description,L3 seg.code,L3 seg.description,Buyers' name
14,CHEMICAL AND TREATMENT PRODUCTS,1413,MINERAL COAGULANTS BASE ALUMINIUM,141314,SOLID ALUMINIUM SULPHATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1413,MINERAL COAGULANTS BASE ALUMINIUM,141399,MINERAL COAGULANTS BASE ALUMINIUM,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141410,ACETIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141411,ASCORBIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141412,HYDROCHLORIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141413,CITRIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141414,ACID DESCALING,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141415,FLUORHYDRIQUE ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141416,FORMIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141417,HEXEFLUOROSILILIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141418,NITRIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141419,OXALIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141420,PERACETIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141421,PHOSPHORIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141422,SULPHURIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141423,SULPHAMIC ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141424,ISOCIANURIC TRICLORO ACID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1414,ACIDS,141499,ACIDS,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1415,ALCOHOL,141510,ETHYL ALCOHOL,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1415,ALCOHOL,141511,ISOPROPYL ALCOHOL,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1415,ALCOHOL,141512,METHANOL 99%,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1415,ALCOHOL,141599,ALCOHOL,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141610,AMMONIAC LIQUID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141611,CALCIUM BICARBONATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141612,SODIUM BICARBONATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141613,CALCIUM CARBONATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141614,SODIUM CARBONATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141615,LIME BLOSSOM,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141616,QUICK LIME,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141617,MILK OF LIME,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141618,CAUSTIC SODA,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141619,SODIUM SILICATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141620,MICROBEAD CAUSTIC SODA,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141621,POTASSIUM HYDROXIDE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1416,ALKALINE REAGENT,141699,ALKALINE REAGENT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141710,CHLORINE GAS,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141711,SOLID CHLORINE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141712,SODIUM CHLORITE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141713,DISPERSANT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141714,SUPPLIES AND EQUIPMENT FOR CHLORINE GAS,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141715,SODIUM HYPOCHLORITE (STANDARD 12.5%),Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141716,ANTISCALANT SODIUM HYPOCHLORITE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141717,HIGH PURITY SODIUM HYPOCHLORITE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141718,HYDROGEN PEROXIDE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141719,POTASSIUM PERMANGANATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141720,DISINFECTANT DASRI VIRUCID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1417,DISINFECTANTS OXYDIZING,141799,DISINFECTANTS OXYDIZING,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141810,SODIUM BISULPHITE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141811,AMMONIUM CHLORIDE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141812,CALCIUM CHLORIDE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141813,SODIUM CHLORIDE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141814,SULPHUR DIOXYDE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141815,SODIUM HYPOSULPHITE ; SODIUM THIOSULPHATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141816,SODIUM METABISULFITE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141817,CALCIUM NITRATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141818,FERRIC NITRATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141819,ALUMINUM NITRATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141820,SODIUM NITRATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141821,AMMONIUM SULPHATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141822,CALCIUM SULPHATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141823,COPPER SULPHATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141824,LIQUID UREA,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141825,SOLID UREA,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1418,MINERAL AND ORGANIC SALTS,141899,MINERAL AND ORGANIC SALTS,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141910,ANTRACITE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141911,BIOLITE CRUSHED,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141912,ROUND BIOLITE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141913,CALCIUM CARBONATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141914,CARULITE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141915,VIRGIN GRANULAR ACTIVATED CARBON,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141916,GRANULAR ACTIVATED CARBON REACTIVATION,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141917,GRANULAR ACTIVATED CARBON - SET TO NEUTRAL PH,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141918,GRANULAR ACTIVATED CARBON - LANDFILL,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141919,GRANULAR ACTIVATED CARBON TRANSPORT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141920,GRANULAR ACTIVATED CARBON TRANSPORT DOWN TIME,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141921,GRANULAR ACTIVATED CARBON DEFINAGE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141922,GRANULAR ACTIVATED CARBON TAKE OFF OLD CARBON,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141923,VIRGIN POWDERED ACTIVATED CARBON,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141924,COKE OF BROWN COAL,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141925,CLAY,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141926,MANGANESE DIOXYDE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141927,GRAVEL FOR TREATMENT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141928,IRON HYDROXYDE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141929,MANGAGRAN,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141930,PUMICE STONE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141931,POLARITE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141932,PYROLUSITE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141933,POZZOLAN ; POZZUOLANA,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141934,ION EXCHANGE RESIN,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141935,SAND FOR TREATMENT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1419,FILTRATION SUPPORT,141999,FILTRATION SUPPORT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1420,WATER,142010,DEMINERALIZED WATER,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1420,WATER,142011,PERMEATED WATER,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1420,WATER,142099,WATER,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1421,DESCALING AGENT AND DISINFECTANT FOR RESERVOIR,142110,DISINFECTANT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1421,DESCALING AGENT AND DISINFECTANT FOR RESERVOIR,142111,ANTISCALANT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1421,DESCALING AGENT AND DISINFECTANT FOR RESERVOIR,142112,DISINFECTION EQUIPMENT AND CLEANING TANKS,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1421,DESCALING AGENT AND DISINFECTANT FOR RESERVOIR,142199,DESCALING AGENT AND DISINFECTANT FOR RESERVOIR,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1422,CONDITIONNING PRODUCTS,142210,NEUTRALIZING AMINE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1422,CONDITIONNING PRODUCTS,142211,ANTISCALANT FOR COOLING AND HEATING SYSTEM,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1422,CONDITIONNING PRODUCTS,142212,ANTISCALANT FOR MEMBRANE IN PHOSPHONATED,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1422,CONDITIONNING PRODUCTS,142213,ANTISCALANT FOR MENBRANE NOT PHOSPONATED,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1422,CONDITIONNING PRODUCTS,142214,ANTI CORROSION LIQUID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1422,CONDITIONNING PRODUCTS,142215,ANTI FOAM LIQUID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1422,CONDITIONNING PRODUCTS,142216,ODOR CONTROL LIQUID,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1422,CONDITIONNING PRODUCTS,142217,BIOCIDE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1422,CONDITIONNING PRODUCTS,142218,OXYGEN REDUCER,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1422,CONDITIONNING PRODUCTS,142299,CONDITIONNING PRODUCTS,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1423,PACKING OF CHEMICAL PRODUCTS,142310,PACKING OF CHEMICAL AND TREATMENT PRODUCTS,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1423,PACKING OF CHEMICAL PRODUCTS,142311,PACKING AND SERVICES ASSOCIATED WITH CHEMICAL OR TREATMENT PRODUCTS,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1424,MINERAL BINDERS FOR WASTE STABILISATION,142410,HYDRAULIC BINDER - CEMENT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1424,MINERAL BINDERS FOR WASTE STABILISATION,142411,STEELMAKING SLAG,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1499,CHEMICAL AND TREATMENT PRODUCTS,149999,CHEMICAL AND TREATMENT PRODUCTS,Geraldine
26,ENERGY AND UTILITIES,2610,FUEL,261001,DOMESTIC FUEL,Geraldine
26,ENERGY AND UTILITIES,2611,INDUSTRIAL GAS,261110,NITROGEN,Tom
26,ENERGY AND UTILITIES,2611,INDUSTRIAL GAS,261111,CARBON DIOXIDE,Tom
26,ENERGY AND UTILITIES,2611,INDUSTRIAL GAS,261112,REFRIGERANT FLUIDS,Tom
26,ENERGY AND UTILITIES,2611,INDUSTRIAL GAS,261113,INDUSTRIAL GAS,Tom
26,ENERGY AND UTILITIES,2611,INDUSTRIAL GAS,261114,INDUSTRIAL GAS: CYLINDER,Tom
26,ENERGY AND UTILITIES,2611,INDUSTRIAL GAS,261116,WELDING GAS,Tom
26,ENERGY AND UTILITIES,2611,INDUSTRIAL GAS,261117,REFRIGERATING GAS,Tom
26,ENERGY AND UTILITIES,2611,INDUSTRIAL GAS,261118,LABORATORY GAS,Tom
26,ENERGY AND UTILITIES,2611,INDUSTRIAL GAS,261119,OXYGEN,Tom
26,ENERGY AND UTILITIES,2611,INDUSTRIAL GAS,261120,OTHER INDUSTRIAL GAS,Tom
26,ENERGY AND UTILITIES,2611,INDUSTRIAL GAS,261199,INDUSTRIAL GAS,Tom
26,ENERGY AND UTILITIES,2612,ELECTRICITY AND NATURAL GAS,261210,ELECTRICITY,Patrick
26,ENERGY AND UTILITIES,2612,ELECTRICITY AND NATURAL GAS,261211,GREEN ELECTRICITY,Curtis
26,ENERGY AND UTILITIES,2612,ELECTRICITY AND NATURAL GAS,261212,NATURAL GAS,Curtis
26,ENERGY AND UTILITIES,2612,ELECTRICITY AND NATURAL GAS,261299,ELECTRICITY AND NATURAL GAS,Curtis
26,ENERGY AND UTILITIES,2613,WATER,261310,DRINKING WATER,Curtis
26,ENERGY AND UTILITIES,2613,WATER,261311,FIRE WATER,Curtis
26,ENERGY AND UTILITIES,2613,WATER,261312,INDUSTRIAL WATER,Curtis
26,ENERGY AND UTILITIES,2613,WATER,261399,WATER,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261410,WOOD,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261411,COAL,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261412,NUCLEAR FUEL,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261413,WIND TURBINE,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261414,HEAT CONVEYING FLUIDS,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261415,HEAT PRODUCTION,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261416,RE-USED OILS AND SOLVENTS,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261417,STEAM,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261480,STOCKED WOOD,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261481,NON STOCKED WOOD,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261482,STOCKED COAL,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261483,NON STOCKED COAL,Curtis
26,ENERGY AND UTILITIES,2614,OTHER ENERGY / UTILITIES,261499,OTHER ENERGY / UTILITIES,Curtis
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301010,SKIP - NEW MATERIAL,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301011,SKIP - RENTAL,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301012,SKIP - SPARE PARTS AND ACCESSORIES,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301013,SKIP - MAINTENANCE AND SERVICES,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301014,DASRI PLASTIC PACKAGING,Curtis
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301015,BAGS,Curtis
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301016,BIG BAG,Curtis
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301017,"BARRELS, DRUMS",Curtis
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301018,BUCKETS,Curtis
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301019,PALETS,Curtis
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301020,STICKERS AND POSTERS FOR SPECIFIC CONTAINERS,Curtis
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301021,METAL CONTAINERS,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301022,BOX,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301023,BOX (FOR RESALE),Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301024,PLASTIC ROLLING BINS PURCHASE,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301025,PLASTIC ROLLING BINS RENTAL,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301026,METAL WHEELIE BINS PURCHASE,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301027,METAL WHEELIE BINS RENTAL,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301028,METAL CONTAINER > 1000 L PURCHASE,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301029,METAL CONTAINER > 1000 L RENTAL,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301030,URBAN BINS PURCHASE,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301031,COMPOSTING CONTAINER - NEW MATERIAL,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301032,COMPOSTING CONTAINER - SPARE PARTS AND ACCESSORIES,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301080,BIO HAZARD PLASTIC PACKAGING FOR RESALE,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301081,BAGS (FOR RESALE),Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301082,BIG BAG (FOR RESALE),Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301083,BARREL (FOR RESALE),Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301084,BUCKETS (FOR RESALE),Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301085,PALETS (FOR RESALE),Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301086,STICKERS AND POSTERS FOR SPECIFIC CONTAINERS (FOR RESALE),Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301087,CONTAINERS (FOR RESALE),Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3010,CONTAINER,301099,CONTAINERS,Jaweed
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3014,COMPOSTING EQUIPMENTS,301410,COMPOSTING EQUIPMENT - NEW MATERIALS,Peter
30,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3014,COMPOSTING EQUIPMENTS,301411,COMPOSTING EQUIPMENT - SPARE PARTS AND ACCESSORIES,Peter
