SupplierNo,Supplier Name,Country,Seg.Code,Category code description,Number of Invoices,SRM Type,Created on,Last Invoice date,Currency,Year To Date Spend
51,Supplier 51,GB,561012,REVERSE OSMOSIS MEMBRANES - MAINTENANCE AND SERVICE,2,APPROVED,22.09.2017,26.04.2018,GBP,"1,336.20"
52,Supplier 52,GB,841001,TEMPORARY WORKERS,17,APPROVED,22.09.2017,27.07.2018,GBP,"18,738.00"
53,Supplier 53,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,12,APPROVED,22.09.2017,27.06.2018,GBP,"65,728.20"
54,Supplier 54,GB,301699,FILTRATION AND SCREENING AND PICK OVER EQUIPMENTS,20,APPROVED,22.09.2017,27.07.2018,GBP,"10,811.76"
55,Supplier 55,GB,999999,UNCLASSIFIED,17,APPROVED,22.09.2017,30.05.2018,GBP,"1,330.00"
56,Supplier 56,GB,701101,"PLANTS, MAINTENANCE OF GREEN SPACES, GARDEN AND ROAD WORK",1,APPROVED,22.09.2017,27.07.2018,GBP,395
57,Supplier 57,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,2,APPROVED,22.09.2017,10.01.2018,GBP,"4,558.49"
58,Supplier 58,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,3,APPROVED,22.09.2017,27.06.2018,GBP,"1,575.00"
59,Supplier 59,GB,321499,ELECTRICAL INSTALLATION SERVICES AND MAINTENANCE,91,APPROVED,22.09.2017,27.07.2018,GBP,"36,665.52"
60,Supplier 60,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,9,APPROVED,22.09.2017,27.06.2018,GBP,"166,094.50"
61,Supplier 61,GB,302112,GEAR MOTOR - MAINTENANCE AND SERVICE,5,APPROVED,22.09.2017,23.05.2018,GBP,"15,044.22"
62,Supplier 62,GB,702110,REPROGRAPHICS SERVICES,20,APPROVED,22.09.2017,27.07.2018,GBP,"23,741.10"
63,Supplier 63,GB,301010,SKIP - NEW MATERIAL,5,APPROVED,22.09.2017,02.07.2018,GBP,215.93
64,Supplier 64,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,30.05.2018,GBP,"1,749.29"
65,Supplier 65,GB,701211,SECURITY SERVICES,2,APPROVED,22.09.2017,07.03.2018,GBP,831.15
66,Supplier 66,GB,361699,SECURITY EQUIPMENT AND SERVICES,2,APPROVED,22.09.2017,30.05.2018,GBP,"2,935.00"
67,Supplier 67,IE,821899,MARKETING SERVICES,1,APPROVED,22.09.2017,30.05.2018,GBP,"8,000.00"
68,Supplier 68,GB,361010,BALER WIRE,61,PREFERRED,22.09.2017,27.07.2018,GBP,"293,508.77"
69,Supplier 69,GB,641311,CONSTRUCTION MACHINERY LONG TERM RENTAL,14,APPROVED,22.09.2017,11.07.2018,GBP,"9,131.95"
70,Supplier 70,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,30.05.2018,GBP,659
71,Supplier 71,GB,308099,GENERAL INDUSTRIAL MAINTENANCE,6,APPROVED,22.09.2017,27.06.2018,GBP,"6,710.50"
72,Supplier 72,GB,308099,GENERAL INDUSTRIAL MAINTENANCE,30,APPROVED,22.09.2017,27.07.2018,GBP,"24,015.32"
73,Supplier 73,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,21.02.2018,GBP,"1,338.00"
74,Supplier 74,GB,306699,BALERS,8,APPROVED,22.09.2017,27.07.2018,GBP,"10,691.37"
75,Supplier 75,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,21,APPROVED,22.09.2017,27.07.2018,GBP,"56,175.00"
76,Supplier 76,GB,641122,HEAVY VEHICLES SPARE PARTS,18,APPROVED,22.09.2017,27.07.2018,GBP,"5,020.31"
77,Supplier 77,GB,304110,LEACHATE DISTRIBUTION STRUCTURES,16,APPROVED,22.09.2017,02.07.2018,GBP,"452,648.30"
78,Supplier 78,GB,841212,TRAINING: HSE - SAFETY,2,APPROVED,22.09.2017,11.07.2018,GBP,"2,931.52"
79,Supplier 79,GB,999999,UNCLASSIFIED,2,APPROVED,22.09.2017,07.03.2018,GBP,"2,150.00"
80,Supplier 80,GB,821099,CONSULTING SERVICES,15,APPROVED,22.09.2017,11.07.2018,GBP,"404,656.09"
81,Supplier 81,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,2,APPROVED,22.09.2017,01.03.2018,GBP,"2,088.00"
82,Supplier 82,GB,821899,MARKETING SERVICES,1,APPROVED,22.09.2017,28.02.2018,GBP,"10,571.28"
83,Supplier 83,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,9,APPROVED,22.09.2017,27.06.2018,GBP,627.82
84,Supplier 84,FR,821399,FINANCIAL SERVICES,3,APPROVED,22.09.2017,03.07.2018,GBP,"2,372.27"
85,Supplier 85,GB,999999,UNCLASSIFIED,10,APPROVED,22.09.2017,13.06.2018,GBP,"2,464,500.55"
86,Supplier 86,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,36,APPROVED,22.09.2017,27.07.2018,GBP,"18,554.86"
87,Supplier 87,GB,641016,EQUIPMENT FOR LESS THAN 3.5T VEHICLE,1,APPROVED,22.09.2017,30.05.2018,GBP,"6,669.34"
88,Supplier 88,GB,309999,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,1,APPROVED,22.09.2017,14.03.2018,GBP,340
89,Supplier 89,GB,841001,TEMPORARY WORKERS,4,APPROVED,22.09.2017,27.07.2018,GBP,"1,450.00"
90,Supplier 90,GB,951099,RECYCLING PURCHASES / CO-PRODUCTS,14,APPROVED,22.09.2017,29.06.2018,GBP,"4,552,138.24"
91,Supplier 91,GB,999999,UNCLASSIFIED,3,APPROVED,22.09.2017,26.04.2018,GBP,195
92,Supplier 92,GB,721015,OFFICE STATIONNERY,25,APPROVED,22.09.2017,27.07.2018,GBP,"6,804.72"
93,Supplier 93,CA,801110,APPLICATIONS - LICENCE MAINTENANCE,4,APPROVED,22.09.2017,29.05.2018,GBP,"7,179.07"
94,Supplier 94,GB,641811,TYRES VEHICLES HEAVIER THAN 3.5T,5,APPROVED,22.09.2017,27.07.2018,GBP,800.98
95,Supplier 95,GB,701410,CLEANING SERVICES,8,APPROVED,22.09.2017,16.05.2018,GBP,"26,117.70"
96,Supplier 96,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,4,APPROVED,22.09.2017,27.06.2018,GBP,"3,390.00"
97,Supplier 97,GB,999999,UNCLASSIFIED,5,APPROVED,22.09.2017,09.05.2018,GBP,"4,212.00"
98,Supplier 98,GB,701101,"PLANTS, MAINTENANCE OF GREEN SPACES, GARDEN AND ROAD WORK",10,APPROVED,22.09.2017,30.05.2018,GBP,"39,436.00"
99,Supplier 99,GB,821899,MARKETING SERVICES,4,APPROVED,22.09.2017,07.02.2018,GBP,"13,063.76"
100,Supplier 100,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,02.07.2018,GBP,839
101,Supplier 101,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,1,APPROVED,22.09.2017,29.01.2018,GBP,120
102,Supplier 102,GB,309999,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,14,APPROVED,22.09.2017,27.07.2018,GBP,"4,433.00"
103,Supplier 103,GB,381099,ANALYSES AND LABORATORY,24,PREFERRED,22.09.2017,27.07.2018,GBP,"80,951.00"
104,Supplier 104,GB,701612,GROCERIES AND WATER FOUNTAINS,7,APPROVED,22.09.2017,27.07.2018,GBP,971.7
105,Supplier 105,GB,641126,HEAVY VEHICLES SHORT TERM RENTAL,10,APPROVED,22.09.2017,11.07.2018,GBP,"2,629.15"
106,Supplier 106,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,5,APPROVED,22.09.2017,27.06.2018,GBP,"3,985.00"
107,Supplier 107,GB,999999,UNCLASSIFIED,2,APPROVED,22.09.2017,30.05.2018,GBP,"1,920.00"
108,Supplier 108,GB,361910,LABORATORY EQUIPMENT,2,APPROVED,22.09.2017,20.06.2018,GBP,621.6
109,Supplier 109,GB,721099,OFFICE SUPPLIES,"3,267",PREFERRED,22.09.2017,27.07.2018,GBP,"349,503.79"
110,Supplier 110,GB,841116,MEDICAL SERVICES,8,APPROVED,22.09.2017,27.07.2018,GBP,"2,330.00"
111,Supplier 111,GB,801099,IT SERVICES,96,APPROVED,22.09.2017,27.07.2018,GBP,"666,267.29"
112,Supplier 112,GB,641311,CONSTRUCTION MACHINERY LONG TERM RENTAL,348,APPROVED,22.09.2017,31.07.2018,GBP,"2,762,714.00"
113,Supplier 113,GB,401216,BUILDING SITE BUNGALOW RENTAL AND PURCHASE,9,APPROVED,22.09.2017,27.06.2018,GBP,"17,294.24"
114,Supplier 114,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,07.02.2018,GBP,425
115,Supplier 115,GB,301599,WEIGHTING EQUIPMENTS,16,APPROVED,22.09.2017,27.07.2018,GBP,"4,565.71"
116,Supplier 116,GB,641122,HEAVY VEHICLES SPARE PARTS,2,APPROVED,22.09.2017,02.07.2018,GBP,205.08
117,Supplier 117,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,33,APPROVED,22.09.2017,27.07.2018,GBP,"7,217.88"
118,Supplier 118,IE,641121,HEAVY VEHICLES BODIES AND EQUIPMENTS MAINTENANCE AND REPAIR SERVICES,47,PREFERRED,22.09.2017,27.07.2018,GBP,"575,514.13"
119,Supplier 119,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,7,APPROVED,22.09.2017,27.07.2018,GBP,"1,250.00"
120,Supplier 120,GB,641122,HEAVY VEHICLES SPARE PARTS,2,APPROVED,22.09.2017,28.03.2018,GBP,267.66
121,Supplier 121,GB,841214,TECHNICAL AND INDUSTRIAL TRAINING,19,APPROVED,22.09.2017,30.05.2018,GBP,"46,526.56"
122,Supplier 122,GB,401199,BUILDING CONSTRUCTION,18,PREFERRED,22.09.2017,30.07.2018,GBP,"343,242.16"
123,Supplier 123,GB,999999,UNCLASSIFIED,2,APPROVED,22.09.2017,18.04.2018,GBP,"2,816.00"
124,Supplier 124,GB,641121,HEAVY VEHICLES BODIES AND EQUIPMENTS MAINTENANCE AND REPAIR SERVICES,87,APPROVED,22.09.2017,27.06.2018,GBP,"21,799.63"
125,Supplier 125,GB,641811,TYRES VEHICLES HEAVIER THAN 3.5T,64,APPROVED,22.09.2017,27.07.2018,GBP,"22,336.42"
126,Supplier 126,GB,701710,RENT AND CHARGES,7,APPROVED,22.09.2017,11.07.2018,GBP,"17,500.00"
127,Supplier 127,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,69,APPROVED,22.09.2017,27.07.2018,GBP,"196,892.52"
128,Supplier 128,GB,701211,SECURITY SERVICES,28,APPROVED,22.09.2017,27.07.2018,GBP,"47,071.15"
129,Supplier 129,GB,999999,UNCLASSIFIED,7,APPROVED,22.09.2017,27.07.2018,GBP,"1,873,400.40"
130,Supplier 130,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,4,APPROVED,22.09.2017,16.05.2018,GBP,"14,171.80"
131,Supplier 131,GB,308014,OTHER INSTALLATION MAINTENANCE,10,APPROVED,22.09.2017,07.02.2018,GBP,"31,200.00"
132,Supplier 132,GB,821099,CONSULTING SERVICES,1,APPROVED,22.09.2017,04.04.2018,GBP,"8,485.00"
133,Supplier 133,GB,821099,CONSULTING SERVICES,2,APPROVED,22.09.2017,29.01.2018,GBP,"5,200.00"
134,Supplier 134,GB,362010,FALL PROTECTION EQUIPMENT,4,APPROVED,22.09.2017,30.05.2018,GBP,"5,756.86"
135,Supplier 135,DK,307011,OTHER PLANT AND PROCESS EQUIPMENTS,19,APPROVED,22.09.2017,03.07.2018,GBP,"39,339.44"
136,Supplier 136,GB,701610,COLLECTIVE CATERING,10,APPROVED,22.09.2017,02.07.2018,GBP,"4,446.00"
137,Supplier 137,GB,701101,"PLANTS, MAINTENANCE OF GREEN SPACES, GARDEN AND ROAD WORK",1,APPROVED,22.09.2017,02.07.2018,GBP,65
138,Supplier 138,GB,641120,SPECIFIC EQUIPMENTS,6,APPROVED,22.09.2017,27.07.2018,GBP,"1,860.15"
139,Supplier 139,GB,305516,SUPPLY AND INSTALLATION OF BAG FILTER,2,APPROVED,22.09.2017,27.07.2018,GBP,"1,871.92"
140,Supplier 140,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,28,APPROVED,22.09.2017,27.06.2018,GBP,"10,256.70"
141,Supplier 141,GB,361610,GROUP PROTECTION AND SAFETY EQUIPMENT,2,APPROVED,22.09.2017,27.07.2018,GBP,990
142,Supplier 142,GB,641811,TYRES VEHICLES HEAVIER THAN 3.5T,4,APPROVED,22.09.2017,02.05.2018,GBP,"1,285.17"
143,Supplier 143,GB,821012,ENVIRONMENTAL CONSULTING SERVICES,10,APPROVED,22.09.2017,27.07.2018,GBP,"9,107.58"
144,Supplier 144,GB,801211,"PRINTERS, PHOTOCOPIERS AND MULTIFUNCTIONAL: PURCHASE/ RENTING",24,PREFERRED,22.09.2017,27.07.2018,GBP,"206,352.84"
145,Supplier 145,GB,321399,PROCESS CONTROL / AUTOMATION,11,APPROVED,22.09.2017,27.06.2018,GBP,"2,223.90"
146,Supplier 146,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,9,APPROVED,22.09.2017,27.06.2018,GBP,"16,143.50"
147,Supplier 147,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,4,APPROVED,22.09.2017,11.07.2018,GBP,"3,921.05"
148,Supplier 148,GB,301099,CONTAINERS,35,APPROVED,22.09.2017,27.07.2018,GBP,"153,320.62"
149,Supplier 149,GB,641315,CONSTRUCTION MACHINERY MAINTENANCE,9,APPROVED,22.09.2017,25.07.2018,GBP,"10,155.89"
150,Supplier 150,GB,701610,COLLECTIVE CATERING,7,APPROVED,22.09.2017,27.07.2018,GBP,680.6
151,Supplier 151,GB,641012,LONG TERM RENTAL VEHICLE LIGHTER THAN 3.5T,86,MAJOR,22.09.2017,31.07.2018,GBP,"682,951.89"
152,Supplier 152,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,12,PREFERRED,22.09.2017,27.07.2018,GBP,"212,903.60"
153,Supplier 153,GB,362612,"INSECTICIDE, RODENTICIDE",9,APPROVED,22.09.2017,11.07.2018,GBP,"2,203.06"
154,Supplier 154,GB,701101,"PLANTS, MAINTENANCE OF GREEN SPACES, GARDEN AND ROAD WORK",3,APPROVED,22.09.2017,27.07.2018,GBP,"2,634.00"
155,Supplier 155,GB,821099,CONSULTING SERVICES,2,APPROVED,22.09.2017,11.07.2018,GBP,"50,453.46"
156,Supplier 156,GB,641121,HEAVY VEHICLES BODIES AND EQUIPMENTS MAINTENANCE AND REPAIR SERVICES,66,APPROVED,22.09.2017,27.07.2018,GBP,"9,823.01"
157,Supplier 157,GB,361615,FIRE DETECTION AND PROTECTION DEVICE MAINTENANCE,3,APPROVED,22.09.2017,27.07.2018,GBP,850
158,Supplier 158,GB,701499,CLEANING,11,APPROVED,22.09.2017,27.07.2018,GBP,"9,006.85"
159,Supplier 159,GB,601016,WASTE TRUCK TRANSPORT,291,PREFERRED,22.09.2017,31.07.2018,GBP,"495,142.57"
160,Supplier 160,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,4,APPROVED,22.09.2017,25.04.2018,GBP,"4,956.00"
161,Supplier 161,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,24.01.2018,GBP,250
162,Supplier 162,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,18.07.2018,GBP,"1,583.00"
163,Supplier 163,GB,701901,FACILITY MANAGEMENT,4,APPROVED,22.09.2017,27.06.2018,GBP,"1,871.90"
164,Supplier 164,GB,999999,UNCLASSIFIED,3,APPROVED,22.09.2017,30.05.2018,GBP,"8,214.00"
165,Supplier 165,GB,641122,HEAVY VEHICLES SPARE PARTS,24,APPROVED,22.09.2017,27.07.2018,GBP,"8,517.98"
166,Supplier 166,GB,321499,ELECTRICAL INSTALLATION SERVICES AND MAINTENANCE,3,APPROVED,22.09.2017,30.05.2018,GBP,"12,195.40"
167,Supplier 167,GB,821012,ENVIRONMENTAL CONSULTING SERVICES,1,APPROVED,22.09.2017,30.05.2018,GBP,"3,248.75"
168,Supplier 168,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,35,APPROVED,22.09.2017,30.05.2018,GBP,"47,836.90"
169,Supplier 169,GB,701211,SECURITY SERVICES,7,APPROVED,22.09.2017,02.01.2018,GBP,115.15
170,Supplier 170,GB,381099,ANALYSES AND LABORATORY,7,APPROVED,22.09.2017,30.05.2018,GBP,"1,590.00"
171,Supplier 171,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,29,APPROVED,22.09.2017,27.07.2018,GBP,"46,022.03"
172,Supplier 172,GB,308099,GENERAL INDUSTRIAL MAINTENANCE,51,APPROVED,22.09.2017,25.07.2018,GBP,"124,099.50"
173,Supplier 173,GB,641120,SPECIFIC EQUIPMENTS,64,APPROVED,22.09.2017,27.07.2018,GBP,"10,371.19"
174,Supplier 174,GB,841214,TECHNICAL AND INDUSTRIAL TRAINING,1,APPROVED,22.09.2017,14.03.2018,GBP,100
175,Supplier 175,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,7,APPROVED,22.09.2017,27.07.2018,GBP,977.25
176,Supplier 176,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,6,APPROVED,22.09.2017,09.05.2018,GBP,"2,143.20"
177,Supplier 177,GB,361615,FIRE DETECTION AND PROTECTION DEVICE MAINTENANCE,4,APPROVED,22.09.2017,30.05.2018,GBP,"1,290.71"
178,Supplier 178,GB,149999,CHEMICAL AND TREATMENT PRODUCTS,16,APPROVED,22.09.2017,27.07.2018,GBP,"57,823.23"
179,Supplier 179,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,28,APPROVED,22.09.2017,27.07.2018,GBP,"27,900.00"
180,Supplier 180,GB,381099,ANALYSES AND LABORATORY,4,APPROVED,22.09.2017,30.05.2018,GBP,"10,005.00"
181,Supplier 181,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,1,APPROVED,22.09.2017,02.01.2018,GBP,170
182,Supplier 182,GB,306799,CONVEYOR,3,APPROVED,22.09.2017,18.07.2018,GBP,"1,908.50"
183,Supplier 183,GB,641315,CONSTRUCTION MACHINERY MAINTENANCE,1,APPROVED,22.09.2017,11.04.2018,GBP,211.25
184,Supplier 184,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,02.01.2018,GBP,392
185,Supplier 185,GB,308099,GENERAL INDUSTRIAL MAINTENANCE,12,APPROVED,22.09.2017,27.07.2018,GBP,"18,740.00"
186,Supplier 186,GB,261410,WOOD,1,APPROVED,22.09.2017,02.01.2018,GBP,74.71
187,Supplier 187,GB,821012,ENVIRONMENTAL CONSULTING SERVICES,1,APPROVED,22.09.2017,27.06.2018,GBP,980
188,Supplier 188,GB,306012,COMPACTOR RENTING,3,APPROVED,22.09.2017,27.07.2018,GBP,"5,065.32"
189,Supplier 189,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,26.04.2018,GBP,981.5
190,Supplier 190,GB,641126,HEAVY VEHICLES SHORT TERM RENTAL,11,APPROVED,22.09.2017,25.07.2018,GBP,"1,989.06"
191,Supplier 191,GB,641115,EQUIPMENTS FOR SEWAGE/HP CLEANERS VEHICLES,2,APPROVED,22.09.2017,27.07.2018,GBP,257.5
192,Supplier 192,GB,308099,GENERAL INDUSTRIAL MAINTENANCE,5,APPROVED,22.09.2017,13.06.2018,GBP,"1,961.00"
193,Supplier 193,GB,544699,VALVES,9,APPROVED,22.09.2017,30.05.2018,GBP,"53,103.54"
194,Supplier 194,GB,305612,STEAM TURBINE - MAINTENANCE AND SERVICE,22,APPROVED,22.09.2017,27.07.2018,GBP,"466,885.48"
195,Supplier 195,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,07.02.2018,GBP,"1,575.00"
196,Supplier 196,GB,306012,COMPACTOR RENTING,2,APPROVED,22.09.2017,27.07.2018,GBP,"3,000.00"
197,Supplier 197,GB,361013,SMALL INDUSTRIAL SUPPLIES,33,APPROVED,22.09.2017,27.07.2018,GBP,"10,946.26"
198,Supplier 198,GB,999999,UNCLASSIFIED,6,APPROVED,22.09.2017,27.07.2018,GBP,"18,163.00"
199,Supplier 199,GB,701710,RENT AND CHARGES,9,APPROVED,22.09.2017,11.07.2018,GBP,"6,975.00"
200,Supplier 200,GB,999999,UNCLASSIFIED,19,APPROVED,22.09.2017,27.07.2018,GBP,"1,902,540.82"
201,Supplier 201,GB,999999,UNCLASSIFIED,5,APPROVED,22.09.2017,30.05.2018,GBP,"18,324.77"
202,Supplier 202,GB,701212,SECURITY EQUIPMENT,3,APPROVED,22.09.2017,27.07.2018,GBP,926.6
203,Supplier 203,GB,821099,CONSULTING SERVICES,11,APPROVED,22.09.2017,27.07.2018,GBP,"32,473.74"
